%time,field.header.seq,field.header.stamp,field.value0,field.value1,field.value2,field.value3,field.value4,field.value5,field.value6,field.value7,field.value8,field.value9,field.value10,field.value11
9826000000,108,9826000000,1500,1660,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9842000000,109,9842000000,1500,1661,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9874000000,110,9874000000,1500,1661,1412,1500,1500,1000,1500,1500,1500,1000,1500,0
9882000000,111,9882000000,1500,1664,1412,1500,1500,1000,1500,1500,1500,1000,1500,0
9892000000,112,9890000000,1500,1664,1422,1500,1500,1000,1500,1500,1500,1000,1500,0
9906000000,113,9906000000,1500,1665,1422,1500,1500,1000,1500,1500,1500,1000,1500,0
9930000000,114,9930000000,1500,1668,1422,1500,1500,1000,1500,1500,1500,1000,1500,0
9946000000,115,9946000000,1500,1670,1422,1500,1500,1000,1500,1500,1500,1000,1500,0
9970000000,116,9970000000,1500,1670,1432,1500,1500,1000,1500,1500,1500,1000,1500,0
10002000000,117,10002000000,1500,1673,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10022000000,118,10018000000,1500,1674,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10034000000,119,10034000000,1500,1677,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10042000000,120,10042000000,1500,1678,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10050000000,121,10050000000,1500,1681,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10058000000,122,10058000000,1500,1682,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10070000000,123,10064000000,1500,1685,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10078000000,124,10078000000,1500,1686,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10084000000,125,10086000000,1500,1687,1443,1500,1500,1000,1500,1500,1500,1000,1500,0
10092000000,126,10092000000,1500,1690,1453,1500,1500,1000,1500,1500,1500,1000,1500,0
10108000000,127,10108000000,1500,1691,1453,1500,1500,1000,1500,1500,1500,1000,1500,0
10124000000,128,10122000000,1500,1691,1463,1500,1500,1000,1500,1500,1500,1000,1500,0
10132000000,129,10132000000,1500,1694,1463,1500,1500,1000,1500,1500,1500,1000,1500,0
10140000000,130,10140000000,1500,1694,1474,1500,1500,1000,1500,1500,1500,1000,1500,0
10146000000,131,10146000000,1500,1695,1474,1500,1500,1000,1500,1500,1500,1000,1500,0
10154000000,132,10154000000,1500,1698,1474,1500,1500,1000,1500,1500,1500,1000,1500,0
10164000000,133,10162000000,1500,1699,1474,1500,1500,1000,1500,1500,1500,1000,1500,0
10178000000,134,10178000000,1500,1700,1474,1500,1500,1000,1500,1500,1500,1000,1500,0
10186000000,135,10186000000,1500,1703,1484,1500,1500,1000,1500,1500,1500,1000,1500,0
10200000000,136,10200000000,1500,1704,1484,1500,1500,1000,1500,1500,1500,1000,1500,0
10344000000,137,10344000000,1500,1707,1484,1500,1500,1000,1500,1500,1500,1000,1500,0
10382000000,138,10382000000,1500,1708,1484,1500,1500,1000,1500,1500,1500,1000,1500,0
10428000000,139,10428000000,1500,1711,1484,1500,1500,1000,1500,1500,1500,1000,1500,0
10484000000,140,10484000000,1500,1711,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10492000000,141,10492000000,1500,1712,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10546000000,142,10546000000,1500,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10584000000,143,10584000000,1500,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10664000000,144,10664000000,1500,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10680000000,145,10680000000,1500,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10696000000,146,10696000000,1498,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10720000000,147,10720000000,1497,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10728000000,148,10728000000,1494,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10744000000,149,10742000000,1493,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10760000000,150,10760000000,1491,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10776000000,151,10776000000,1489,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10792000000,152,10790000000,1487,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10800000000,153,10800000000,1485,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10808000000,154,10808000000,1484,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10824000000,155,10824000000,1481,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10834000000,156,10832000000,1478,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10838000000,157,10838000000,1470,1716,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10846000000,158,10846000000,1469,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10854000000,159,10854000000,1466,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
